TTC: 11.53 ms. 51.15 GiB/s
TTC: 10.86 ms. 54.31 GiB/s
TTC: 9.84 ms. 59.98 GiB/s
TTC: 9.01 ms. 67.32 GiB/s
TTC: 8.25 ms. 71.37 GiB/s
TTC: 9.40 ms. 64.59 GiB/s
TTC: 11.15 ms. 52.45 GiB/s
TTC: 10.87 ms. 54.06 GiB/s
TTC: 10.06 ms. 58.39 GiB/s
TTC: 11.01 ms. 53.13 GiB/s
TTC: 11.69 ms. 50.25 GiB/s
TTC: 11.54 ms. 50.89 GiB/s
TTC: 10.81 ms. 57.17 GiB/s
TTC: 8.87 ms. 67.36 GiB/s
TTC: 10.78 ms. 57.91 GiB/s
TTC: 11.15 ms. 51.97 GiB/s
TTC: 11.39 ms. 51.52 GiB/s
TTC: 10.04 ms. 58.45 GiB/s
TTC: 9.36 ms. 61.88 GiB/s
TTC: 9.41 ms. 62.36 GiB/s
TTC: 11.52 ms. 50.98 GiB/s
TTC: 9.09 ms. 63.74 GiB/s
TTC: 10.29 ms. 57.07 GiB/s
TTC: 10.61 ms. 55.34 GiB/s
TTC: 12.95 ms. 44.73 GiB/s
TTC: 11.64 ms. 50.45 GiB/s
TTC: 11.35 ms. 51.72 GiB/s
TTC: 11.71 ms. 55.16 GiB/s
TTC: 9.14 ms. 64.76 GiB/s
TTC: 10.39 ms. 64.35 GiB/s
TTC: 13.13 ms. 43.04 GiB/s
TTC: 12.14 ms. 48.78 GiB/s
TTC: 11.98 ms. 49.45 GiB/s
TTC: 9.19 ms. 61.49 GiB/s
TTC: 9.83 ms. 60.23 GiB/s
TTC: 9.59 ms. 61.75 GiB/s
TTC: 9.22 ms. 61.29 GiB/s
TTC: 10.14 ms. 58.37 GiB/s
TTC: 10.13 ms. 58.44 GiB/s
TTC: 15.07 ms. 37.50 GiB/s
TTC: 12.09 ms. 48.96 GiB/s
TTC: 12.35 ms. 47.95 GiB/s
TTC: 11.50 ms. 53.76 GiB/s
TTC: 9.03 ms. 64.19 GiB/s
TTC: 9.98 ms. 62.30 GiB/s
TTC: 9.99 ms. 58.02 GiB/s
TTC: 11.56 ms. 58.45 GiB/s
TTC: 11.92 ms. 56.69 GiB/s
TTC: 8.78 ms. 66.00 GiB/s
TTC: 10.12 ms. 66.76 GiB/s
TTC: 9.96 ms. 67.88 GiB/s
TTC: 10.91 ms. 53.11 GiB/s
TTC: 12.58 ms. 53.71 GiB/s
TTC: 12.86 ms. 52.56 GiB/s
TTC: 10.70 ms. 54.16 GiB/s
TTC: 15.36 ms. 44.00 GiB/s
TTC: 13.70 ms. 49.35 GiB/s
